name,path,languages,project_types,commercial_classes,sell_as,overall_score,completion,market_fit,packaging,exposure,hours_remaining,expected_price,annual_revenue,recurring_revenue,competition,recommendation,missing,summary
manim-video,/Users/steven/.agent-skills/skills/creative/manim-video,Markdown,"AI Agent, Claude Skill, Creative Tool, Media Tool, Template","AI Tool, Automation, Creative Tool, Developer Tool, Media Tool","Agent Pack, Consulting, Course, Creator Subscription, License, Prompt Pack, SaaS, Skill Pack, Template",46.4,38.1,78.0,0.0,4.8,20.7,32.0,1692.0,True,High,Develop / merge,"License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",production pipeline for mathematical and technical animations using [manim community edition](https://www.manim.community/).
structured-asset-pipeline,/Users/steven/.agent-skills/skills/creative/structured-asset-pipeline,"Markdown, Python","API, Claude Skill, Creative Tool, Media Tool, SEO Tool, SaaS Candidate","Business Tool, Creative Tool, Media Tool, SEO Tool","API, Consulting, Creator Subscription, Enterprise, License, Prompt Pack, SaaS, Skill Pack, Template",45.5,60.0,50.0,0.0,0.0,16.3,139.0,9174.0,True,Medium,Develop / merge,"README, License, Screenshots, Demo video, Installer, Landing page, CI/CD",structured-asset-pipeline
research-paper-writing,/Users/steven/.agent-skills/skills/research/research-paper-writing,Markdown,"AI Agent, API, CLI, Claude Skill, Creative Tool, Dataset, MCP Server, Media Tool, SEO Tool, SaaS Candidate, Template","AI Tool, Automation, Business Tool, Creative Tool, Dataset, Developer Tool, Media Tool, SEO Tool","API, Agent Pack, CLI, Consulting, Course, Creator Subscription, Dataset License, Developer License, Enterprise, Hosted MCP, License, MCP, Prompt Pack, SaaS, Skill Pack, Template",45.3,42.9,50.0,20.0,9.5,18.1,139.0,7748.0,True,Medium,Develop / merge,"License, Tests, Screenshots, Demo video, Landing page, CI/CD",research-paper-writing
ascii-art,/Users/steven/.agent-skills/skills/creative/ascii-art,Markdown,"AI Agent, API, Claude Skill, Creative Tool, Media Tool, SaaS Candidate","AI Tool, Automation, Creative Tool, Developer Tool, Media Tool","API, Agent Pack, Consulting, Creator Subscription, Enterprise, License, Prompt Pack, SaaS, Skill Pack, Template",44.5,33.3,78.0,0.0,0.0,21.7,167.0,8347.0,True,High,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD","description: ""ascii art: pyfiglet, cowsay, boxes, image-to-ascii."""
audiocraft,/Users/steven/.agent-skills/skills/mlops/models/audiocraft,Markdown,"Claude Skill, Creative Tool, Desktop App, Media Tool, SaaS Candidate","Creative Tool, Media Tool","Consulting, Creator Subscription, Desktop, License, One-time Purchase, Prompt Pack, Skill Pack, Template",44.5,33.3,78.0,0.0,0.0,21.7,167.0,8347.0,True,High,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",name: audiocraft-audio-generation
sora,/Users/steven/.agent-skills/skills/sora,"Markdown, Python","API, Claude Skill, Creative Tool, Media Tool, SaaS Candidate, Template","Creative Tool, Media Tool","API, Consulting, Course, Creator Subscription, Enterprise, License, Prompt Pack, SaaS, Skill Pack, Template",44.5,33.3,78.0,0.0,0.0,21.7,167.0,8347.0,True,High,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD","description: ""use when the user asks to generate, remix, poll, list, download, or delete sora videos via openai\u2019s video api using the bundled cli (`scripts/sora.py`), including requests like \u201cgenerate ai video,\u201d \u201csora,\u201d \u201cvideo remix,\u201d \u201cdown"
brandkit,/Users/steven/.agent-skills/skills/taste-skill/skills/brandkit,Markdown,"AI Agent, Claude Skill, Creative Tool, Media Tool, SaaS Candidate, Template","AI Tool, Automation, Creative Tool, Developer Tool, Media Tool","Agent Pack, Consulting, Course, Creator Subscription, License, Prompt Pack, SaaS, Skill Pack, Template",44.5,33.3,78.0,0.0,0.0,21.7,167.0,8347.0,True,High,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD","description: premium brand-kit image generation skill for creating high-end brand-guidelines boards, logo systems, identity decks, and visual-world presentations. trained for minimalist, cinematic, editorial, dark-tech, luxury, cultural, security, gaming, developer-tool, and cons"
image-to-code-skill,/Users/steven/.agent-skills/skills/taste-skill/skills/image-to-code-skill,Markdown,"Claude Skill, Creative Tool, Desktop App, Media Tool, SaaS Candidate, Template","Creative Tool, Media Tool","Consulting, Course, Creator Subscription, Desktop, License, One-time Purchase, Prompt Pack, Skill Pack, Template",44.5,33.3,78.0,0.0,0.0,21.7,167.0,8347.0,True,High,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD","description: elite website image-to-code skill for codex. for visually important web tasks, it must first generate the design image(s) itself, deeply analyze them, then implement the website to match them as closely as possible. in codex, it must prefer large, readable, section-s"
imagegen-frontend-mobile,/Users/steven/.agent-skills/skills/taste-skill/skills/imagegen-frontend-mobile,Markdown,"Claude Skill, Creative Tool, Desktop App, Media Tool, SaaS Candidate, Template","Creative Tool, Media Tool","Consulting, Course, Creator Subscription, Desktop, License, One-time Purchase, Prompt Pack, Skill Pack, Template",44.5,33.3,78.0,0.0,0.0,21.7,167.0,8347.0,True,High,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",imagegen-frontend-mobile
imagegen-frontend-web,/Users/steven/.agent-skills/skills/taste-skill/skills/imagegen-frontend-web,Markdown,"Claude Skill, Creative Tool, Desktop App, Media Tool, SaaS Candidate, Template","Creative Tool, Media Tool","Consulting, Course, Creator Subscription, Desktop, License, One-time Purchase, Prompt Pack, Skill Pack, Template",44.5,33.3,78.0,0.0,0.0,21.7,167.0,8347.0,True,High,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",imagegen-frontend-web
skill-creator,/Users/steven/.agent-skills/agents/skill-creator,"Markdown, Python","AI Agent, API, Claude Skill, Creative Tool, Media Tool, SEO Tool, SaaS Candidate, Template","AI Tool, Automation, Business Tool, Creative Tool, Developer Tool, Media Tool, SEO Tool","API, Agent Pack, Consulting, Course, Creator Subscription, Enterprise, License, Prompt Pack, SaaS, Skill Pack, Template",43.3,33.3,50.0,25.0,8.3,19.6,139.0,6947.0,True,Medium,Archive or incubate,"README, Tests, Demo video, Installer, Landing page, CI/CD","description: guide for creating effective skills. this skill should be used when users want to create a new skill (or update an existing skill) that extends codex's capabilities with specialized knowledge, workflows, or tool integrations."
openai-docs,/Users/steven/.agent-skills/skills/.system/openai-docs,"Markdown, Node","AI Agent, API, Claude Skill, MCP Server, Media Tool, SEO Tool, SaaS Candidate","AI Tool, Automation, Business Tool, Creative Tool, Developer Tool, Media Tool, SEO Tool","API, Agent Pack, Consulting, Creator Subscription, Enterprise, Hosted MCP, License, MCP, Prompt Pack, SaaS, Skill Pack, Template",43.3,33.3,50.0,25.0,8.3,19.6,139.0,6947.0,True,Medium,Archive or incubate,"README, Tests, Demo video, Installer, Landing page, CI/CD","description: ""use when the user asks how to build with openai products or apis and needs up-to-date official documentation with citations, help choosing the latest model for a use case, or model upgrade and prompt-upgrade guidance; prioritize openai docs mcp tools, use bundled re"
skill-creator,/Users/steven/.agent-skills/skills/.system/skill-creator,"Markdown, Python","AI Agent, API, Claude Skill, Creative Tool, Media Tool, SEO Tool, SaaS Candidate, Template","AI Tool, Automation, Business Tool, Creative Tool, Developer Tool, Media Tool, SEO Tool","API, Agent Pack, Consulting, Course, Creator Subscription, Enterprise, License, Prompt Pack, SaaS, Skill Pack, Template",43.3,33.3,50.0,25.0,8.3,19.6,139.0,6947.0,True,Medium,Archive or incubate,"README, Tests, Demo video, Installer, Landing page, CI/CD","description: guide for creating effective skills. this skill should be used when users want to create a new skill (or update an existing skill) that extends codex's capabilities with specialized knowledge, workflows, or tool integrations."
skill-creator,/Users/steven/.agent-skills/skills/skill-creator,"Markdown, Python","AI Agent, CLI, Claude Skill, Creative Tool, MCP Server, Media Tool, SEO Tool, SaaS Candidate, Template","AI Tool, Automation, Business Tool, Creative Tool, Developer Tool, Media Tool, SEO Tool","Agent Pack, CLI, Consulting, Course, Creator Subscription, Developer License, Enterprise, Hosted MCP, License, MCP, Prompt Pack, SaaS, Skill Pack, Template",43.3,33.3,50.0,25.0,8.3,19.6,139.0,6947.0,True,Medium,Archive or incubate,"README, Tests, Demo video, Installer, Landing page, CI/CD","description: create new skills, modify and improve existing skills, and measure skill performance. use when users want to create a skill from scratch, update or optimize an existing skill, run evals to test a skill, benchmark skill performance with variance analysis, or optimize "
skill-porter,/Users/steven/.agent-skills/agents/skill-porter,Markdown,"API, Claude Skill, MCP Server, SEO Tool, SaaS Candidate","AI Tool, Automation, Business Tool, Developer Tool, SEO Tool","API, Consulting, Enterprise, Hosted MCP, License, MCP, SaaS, Skill Pack, Template",43.2,47.6,50.0,0.0,14.3,18.8,139.0,8140.0,True,Medium,Archive or incubate,"License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",skill porter - examples this directory contains example skills and extensions showing conversion between claude code and gemini cli formats. ## examples included ### 1. simple claude skill: `code-formatter` **source**: `simple-claude-skill/`
skill-porter-examples,/Users/steven/.agent-skills/skills/skill-porter-examples,Markdown,"API, Claude Skill, MCP Server, SEO Tool, SaaS Candidate","AI Tool, Automation, Business Tool, Developer Tool, SEO Tool","API, Consulting, Enterprise, Hosted MCP, License, MCP, SaaS, Skill Pack, Template",43.2,47.6,50.0,0.0,14.3,18.8,139.0,8140.0,True,Medium,Archive or incubate,"License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",skill-porter-examples
songsee,/Users/steven/.agent-skills/skills/media/songsee,Markdown,"Claude Skill, Creative Tool, Media Tool, SaaS Candidate","Creative Tool, Media Tool","Consulting, Creator Subscription, License, Prompt Pack, Skill Pack, Template",42.5,33.3,78.0,0.0,0.0,21.7,167.0,8347.0,True,High,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD","description: ""audio spectrograms/features (mel, chroma, mfcc) via cli."""
skill-installer,/Users/steven/.agent-skills/agents/skill-installer,"Markdown, Python","AI Agent, API, Claude Skill, Media Tool, SaaS Candidate","AI Tool, Automation, Creative Tool, Developer Tool, Media Tool","API, Agent Pack, Consulting, Creator Subscription, Enterprise, License, Prompt Pack, SaaS, Skill Pack, Template",42.1,33.3,45.0,25.0,8.3,19.6,134.0,6697.0,True,Medium,Archive or incubate,"README, Tests, Demo video, Installer, Landing page, CI/CD",name: skill-installer
skill-installer,/Users/steven/.agent-skills/skills/.system/skill-installer,"Markdown, Python","AI Agent, API, Claude Skill, Media Tool, SaaS Candidate","AI Tool, Automation, Creative Tool, Developer Tool, Media Tool","API, Agent Pack, Consulting, Creator Subscription, Enterprise, License, Prompt Pack, SaaS, Skill Pack, Template",42.1,33.3,45.0,25.0,8.3,19.6,134.0,6697.0,True,Medium,Archive or incubate,"README, Tests, Demo video, Installer, Landing page, CI/CD",name: skill-installer
skill-installer,/Users/steven/.agent-skills/skills/skill-installer,"Markdown, Python","AI Agent, API, Claude Skill, Media Tool, SaaS Candidate","AI Tool, Automation, Creative Tool, Developer Tool, Media Tool","API, Agent Pack, Consulting, Creator Subscription, Enterprise, License, Prompt Pack, SaaS, Skill Pack, Template",42.1,33.3,45.0,25.0,8.3,19.6,134.0,6697.0,True,Medium,Archive or incubate,"README, Tests, Demo video, Installer, Landing page, CI/CD",name: skill-installer
ice-tracker-integration,/Users/steven/.agent-skills/skills/ice-tracker-integration,Markdown,"AI Agent, API, Claude Skill","AI Tool, Automation, Developer Tool","API, Agent Pack, Consulting, Enterprise, License, SaaS, Skill Pack, Template",42.0,47.6,45.0,0.0,14.3,18.8,134.0,7847.0,True,Medium,Archive or incubate,"License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",ice-tracker-integration
cua-driver,/Users/steven/.agent-skills/skills/cua-driver,Markdown,"AI Agent, API, CLI, Claude Skill, Creative Tool, Desktop App, MCP Server, Media Tool, SEO Tool, SaaS Candidate","AI Tool, Automation, Business Tool, Creative Tool, Developer Tool, Media Tool, SEO Tool","API, Agent Pack, CLI, Consulting, Creator Subscription, Desktop, Developer License, Enterprise, Hosted MCP, License, MCP, One-time Purchase, Prompt Pack, SaaS, Skill Pack, Template",41.3,42.9,50.0,0.0,9.5,19.8,139.0,7748.0,True,Medium,Archive or incubate,"License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",cua-driver — claude code skill
humanizer,/Users/steven/.agent-skills/skills/creative/humanizer,Markdown,"AI Agent, API, Claude Skill, Creative Tool, Media Tool, SaaS Candidate, Template","AI Tool, Automation, Creative Tool, Developer Tool, Media Tool","API, Agent Pack, Consulting, Course, Creator Subscription, Enterprise, License, Prompt Pack, SaaS, Skill Pack, Template",40.2,33.3,45.0,20.0,0.0,20.0,134.0,6697.0,True,Medium,Archive or incubate,"README, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD","description: ""humanize text: strip ai-isms and add real voice."""
google-workspace,/Users/steven/.agent-skills/skills/productivity/google-workspace,"Markdown, Python","AI Agent, API, Claude Skill, Creative Tool, Desktop App, Media Tool, SaaS Candidate","AI Tool, Automation, Creative Tool, Developer Tool, Media Tool","API, Agent Pack, Consulting, Creator Subscription, Desktop, Enterprise, License, One-time Purchase, Prompt Pack, SaaS, Skill Pack, Template",40.2,33.3,45.0,20.0,0.0,20.0,134.0,6697.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Landing page, CI/CD",name: google-workspace
powerpoint,/Users/steven/.agent-skills/skills/productivity/powerpoint,"Markdown, Python","AI Agent, Claude Skill, Creative Tool, Template","AI Tool, Automation, Creative Tool, Developer Tool, Media Tool","Agent Pack, Consulting, Course, Creator Subscription, License, Prompt Pack, SaaS, Skill Pack, Template",40.2,33.3,45.0,20.0,0.0,20.0,26.0,1299.0,True,Medium,Archive or incubate,"README, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD","description: ""create, read, edit .pptx decks, slides, notes, templates."""
scripts,/Users/steven/.agent-skills/scripts,"Markdown, Node, Python","AI Agent, Browser Extension, Claude Skill, Creative Tool, Dataset, Media Tool","AI Tool, Automation, Creative Tool, Dataset, Developer Tool, Media Tool","API, Agent Pack, Consulting, Creator Subscription, Dataset License, License, Prompt Pack, SaaS, Skill Pack, Template",40.1,42.9,45.0,0.0,9.5,19.8,26.0,1449.0,True,Medium,Archive or incubate,"License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",scripts — ~/.agent-skills/scripts/
setup-tooluniverse,/Users/steven/.agent-skills/skills/setup-tooluniverse,"Markdown, Python","AI Agent, API, CLI, Claude Skill, Dataset, Desktop App, MCP Server, SEO Tool, SaaS Candidate","AI Tool, Automation, Business Tool, Dataset, Developer Tool, SEO Tool","API, Agent Pack, CLI, Consulting, Dataset License, Desktop, Developer License, Enterprise, Hosted MCP, License, MCP, One-time Purchase, SaaS, Skill Pack, Template",39.5,40.0,50.0,0.0,0.0,20.3,139.0,7506.0,True,Medium,Archive or incubate,"README, License, Screenshots, Demo video, Installer, Landing page, CI/CD",name: setup-tooluniverse
workflows,/Users/steven/.agent-skills/skills/creative/comfyui/workflows,Markdown,"API, Creative Tool, SEO Tool, Template","Business Tool, Creative Tool, Media Tool, SEO Tool","API, Consulting, Course, Creator Subscription, Enterprise, License, Prompt Pack, SaaS, Template",39.4,38.1,50.0,0.0,4.8,20.7,139.0,7348.0,True,Medium,Archive or incubate,"License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",these are starter api-format workflows for the most common tasks. they're
plugin-creator,/Users/steven/.agent-skills/skills/.system/plugin-creator,"Markdown, Python","AI Agent, CLI, Claude Skill, MCP Server, Media Tool, SEO Tool, SaaS Candidate","AI Tool, Automation, Business Tool, Creative Tool, Developer Tool, Media Tool, SEO Tool","Agent Pack, CLI, Consulting, Creator Subscription, Developer License, Enterprise, Hosted MCP, License, MCP, Prompt Pack, SaaS, Skill Pack, Template",39.3,33.3,50.0,5.0,8.3,21.3,139.0,6947.0,True,Medium,Archive or incubate,"README, License, Tests, Demo video, Installer, Landing page, CI/CD","description: create and scaffold plugin directories for codex with a required `.codex-plugin/plugin.json`, optional plugin folders/files, valid manifest defaults, and personal-marketplace entries by default. use when codex needs to create a new personal plugin, add optional plugi"
templates,/Users/steven/.agent-skills/skills/research/research-paper-writing/templates,Markdown,"CLI, SaaS Candidate, Template",,"CLI, Consulting, Course, Developer License, License, Template",37.7,42.9,27.5,20.0,9.5,18.1,117.0,6522.0,True,Low,Archive or incubate,"License, Tests, Screenshots, Demo video, Landing page, CI/CD",latex templates for ml/ai conferences
memory,/Users/steven/.agent-skills/memory,Markdown,"AI Agent, Dataset, SEO Tool","AI Tool, Automation, Business Tool, Dataset, Developer Tool, SEO Tool","API, Agent Pack, Consulting, Dataset License, License, SaaS",37.5,38.1,50.0,0.0,4.8,20.7,27.0,1427.0,True,Medium,Archive or incubate,"License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",memory — ~/.agent-skills/memory/
macos-computer-use,/Users/steven/.agent-skills/skills/apple/macos-computer-use,Markdown,"API, CLI, Claude Skill, Creative Tool, Desktop App, Media Tool, SEO Tool","Business Tool, Creative Tool, Media Tool, SEO Tool","API, CLI, Consulting, Creator Subscription, Desktop, Developer License, Enterprise, License, One-time Purchase, Prompt Pack, SaaS, Skill Pack, Template",37.5,33.3,50.0,0.0,0.0,21.7,139.0,6947.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",name: macos-computer-use
claude-code,/Users/steven/.agent-skills/skills/autonomous-ai-agents/claude-code,Markdown,"AI Agent, API, Claude Skill, Creative Tool, Desktop App, MCP Server, Media Tool, SEO Tool, SaaS Candidate","AI Tool, Automation, Business Tool, Creative Tool, Developer Tool, Media Tool, SEO Tool","API, Agent Pack, Consulting, Creator Subscription, Desktop, Enterprise, Hosted MCP, License, MCP, One-time Purchase, Prompt Pack, SaaS, Skill Pack, Template",37.5,33.3,50.0,0.0,0.0,21.7,139.0,6947.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD","description: ""delegate coding to claude code cli (features, prs)."""
hermes-agent,/Users/steven/.agent-skills/skills/autonomous-ai-agents/hermes-agent,Markdown,"AI Agent, API, CLI, Claude Skill, Creative Tool, MCP Server, Media Tool, SEO Tool, SaaS Candidate","AI Tool, Automation, Business Tool, Creative Tool, Developer Tool, Media Tool, SEO Tool","API, Agent Pack, CLI, Consulting, Creator Subscription, Developer License, Enterprise, Hosted MCP, License, MCP, Prompt Pack, SaaS, Skill Pack, Template",37.5,33.3,50.0,0.0,0.0,21.7,139.0,6947.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD","description: ""configure, extend, or contribute to hermes agent."""
build-mcp-app,/Users/steven/.agent-skills/skills/build-mcp-app,Markdown,"API, CLI, Claude Skill, Creative Tool, Desktop App, MCP Server, SEO Tool, SaaS Candidate, Template","AI Tool, Automation, Business Tool, Creative Tool, Developer Tool, Media Tool, SEO Tool","API, CLI, Consulting, Course, Creator Subscription, Desktop, Developer License, Enterprise, Hosted MCP, License, MCP, One-time Purchase, Prompt Pack, SaaS, Skill Pack, Template",37.5,33.3,50.0,0.0,0.0,21.7,139.0,6947.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD","description: this skill should be used when the user wants to build an ""mcp app"", add ""interactive ui"" or ""widgets"" to an mcp server, ""render components in chat"", build ""mcp ui resources"", make a tool that shows a ""form"", ""picker"", ""dashboard"" or ""confirmation dialog"" inline in t"
build-mcp-server,/Users/steven/.agent-skills/skills/build-mcp-server,Markdown,"API, Claude Skill, Desktop App, MCP Server, SEO Tool, SaaS Candidate, Template","AI Tool, Automation, Business Tool, Developer Tool, SEO Tool","API, Consulting, Course, Desktop, Enterprise, Hosted MCP, License, MCP, One-time Purchase, SaaS, Skill Pack, Template",37.5,33.3,50.0,0.0,0.0,21.7,139.0,6947.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",name: build-mcp-server
build-mcpb,/Users/steven/.agent-skills/skills/build-mcpb,Markdown,"API, Browser Extension, Claude Skill, Desktop App, MCP Server, SEO Tool, SaaS Candidate","AI Tool, Automation, Business Tool, Developer Tool, SEO Tool","API, Consulting, Desktop, Enterprise, Hosted MCP, License, MCP, One-time Purchase, SaaS, Skill Pack, Template",37.5,33.3,50.0,0.0,0.0,21.7,139.0,6947.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD","description: this skill should be used when the user wants to ""package an mcp server"", ""bundle an mcp"", ""make an mcpb"", ""ship a local mcp server"", ""distribute a local mcp"", discusses "".mcpb files"", mentions bundling a node or python runtime with their mcp server, or needs an mcp "
ccassist,/Users/steven/.agent-skills/skills/ccassist,Markdown,"AI Agent, Claude Skill, Creative Tool, MCP Server, Media Tool, SEO Tool","AI Tool, Automation, Business Tool, Creative Tool, Developer Tool, Media Tool, SEO Tool","Agent Pack, Consulting, Creator Subscription, Enterprise, Hosted MCP, License, MCP, Prompt Pack, SaaS, Skill Pack, Template",37.5,33.3,50.0,0.0,0.0,21.7,139.0,6947.0,True,Medium,Archive or incubate,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",cross-cli session context transfer. use when the user wants to continue work
